user_id,event_date,action
u1000,2026-06-01,shop
u1002,2026-06-01,buff
u1002,2026-06-01,buff
u1003,2026-06-01,stage
u1009,2026-06-01,gacha
u1012,2026-06-01,buff
u1015,2026-06-01,stage
u1023,2026-06-01,stage
u1029,2026-06-01,lobby
u1031,2026-06-01,gacha
u1038,2026-06-01,buff
u1039,2026-06-01,shop
u1041,2026-06-01,gacha
u1046,2026-06-01,stage
u1047,2026-06-01,shop
u1050,2026-06-01,lobby
u1051,2026-06-01,lobby
u1052,2026-06-01,buff
u1055,2026-06-01,lobby
u1057,2026-06-01,gacha
u1062,2026-06-01,lobby
u1063,2026-06-01,stage
u1071,2026-06-01,buff
u1073,2026-06-01,stage
u1073,2026-06-01,buff
u1073,2026-06-01,stage
u1074,2026-06-01,buff
u1075,2026-06-01,buff
u1075,2026-06-01,gacha
u1079,2026-06-01,gacha
u1080,2026-06-01,buff
u1081,2026-06-01,stage
u1083,2026-06-01,buff
u1085,2026-06-01,buff
u1088,2026-06-01,gacha
u1089,2026-06-01,lobby
u1091,2026-06-01,lobby
u1091,2026-06-01,stage
u1093,2026-06-01,shop
u1097,2026-06-01,stage
u1099,2026-06-01,gacha
u1104,2026-06-01,lobby
u1105,2026-06-01,buff
u1125,2026-06-01,buff
u1001,2026-06-02,stage
u1008,2026-06-02,shop
u1021,2026-06-02,shop
u1022,2026-06-02,lobby
u1024,2026-06-02,gacha
u1028,2026-06-02,buff
u1034,2026-06-02,gacha
u1037,2026-06-02,stage
u1040,2026-06-02,lobby
u1040,2026-06-02,buff
u1043,2026-06-02,gacha
u1044,2026-06-02,shop
u1052,2026-06-02,shop
u1058,2026-06-02,stage
u1063,2026-06-02,gacha
u1065,2026-06-02,gacha
u1068,2026-06-02,stage
u1072,2026-06-02,lobby
u1074,2026-06-02,buff
u1080,2026-06-02,buff
u1081,2026-06-02,shop
u1084,2026-06-02,shop
u1087,2026-06-02,shop
u1087,2026-06-02,shop
u1092,2026-06-02,gacha
u1095,2026-06-02,lobby
u1096,2026-06-02,stage
u1100,2026-06-02,gacha
u1101,2026-06-02,lobby
u1102,2026-06-02,gacha
u1114,2026-06-02,gacha
u1118,2026-06-02,lobby
u1119,2026-06-02,gacha
u1122,2026-06-02,lobby
u1124,2026-06-02,buff
u1125,2026-06-02,lobby
u1126,2026-06-02,gacha
u1133,2026-06-02,stage
u1008,2026-06-03,stage
u1010,2026-06-03,shop
u1011,2026-06-03,lobby
u1012,2026-06-03,buff
u1016,2026-06-03,gacha
u1017,2026-06-03,shop
u1025,2026-06-03,stage
u1027,2026-06-03,buff
u1034,2026-06-03,lobby
u1034,2026-06-03,gacha
u1037,2026-06-03,stage
u1038,2026-06-03,gacha
u1067,2026-06-03,gacha
u1068,2026-06-03,stage
u1076,2026-06-03,stage
u1077,2026-06-03,gacha
u1079,2026-06-03,lobby
u1082,2026-06-03,stage
u1083,2026-06-03,buff
u1086,2026-06-03,shop
u1089,2026-06-03,stage
u1090,2026-06-03,stage
u1094,2026-06-03,stage
u1095,2026-06-03,buff
u1098,2026-06-03,stage
u1101,2026-06-03,stage
u1102,2026-06-03,shop
u1103,2026-06-03,buff
u1104,2026-06-03,stage
u1105,2026-06-03,lobby
u1107,2026-06-03,lobby
u1110,2026-06-03,lobby
u1113,2026-06-03,gacha
u1114,2026-06-03,shop
u1116,2026-06-03,buff
u1117,2026-06-03,lobby
u1118,2026-06-03,stage
u1130,2026-06-03,buff
u1130,2026-06-03,gacha
u1132,2026-06-03,shop
u1002,2026-06-04,lobby
u1006,2026-06-04,stage
u1006,2026-06-04,buff
u1008,2026-06-04,shop
u1020,2026-06-04,gacha
u1023,2026-06-04,shop
u1024,2026-06-04,gacha
u1027,2026-06-04,buff
u1027,2026-06-04,shop
u1031,2026-06-04,buff
u1031,2026-06-04,buff
u1044,2026-06-04,stage
u1045,2026-06-04,shop
u1053,2026-06-04,stage
u1054,2026-06-04,stage
u1056,2026-06-04,shop
u1056,2026-06-04,gacha
u1056,2026-06-04,lobby
u1060,2026-06-04,stage
u1061,2026-06-04,stage
u1064,2026-06-04,stage
u1066,2026-06-04,shop
u1082,2026-06-04,buff
u1103,2026-06-04,buff
u1105,2026-06-04,shop
u1106,2026-06-04,buff
u1108,2026-06-04,lobby
u1109,2026-06-04,lobby
u1111,2026-06-04,shop
u1111,2026-06-04,shop
u1112,2026-06-04,gacha
u1115,2026-06-04,gacha
u1115,2026-06-04,stage
u1116,2026-06-04,stage
u1120,2026-06-04,gacha
u1122,2026-06-04,stage
u1128,2026-06-04,stage
u1129,2026-06-04,shop
u1130,2026-06-04,stage
u1134,2026-06-04,stage
u1004,2026-06-05,buff
u1005,2026-06-05,stage
u1011,2026-06-05,lobby
u1013,2026-06-05,stage
u1019,2026-06-05,stage
u1019,2026-06-05,stage
u1032,2026-06-05,shop
u1032,2026-06-05,lobby
u1036,2026-06-05,lobby
u1037,2026-06-05,buff
u1044,2026-06-05,buff
u1046,2026-06-05,gacha
u1048,2026-06-05,buff
u1049,2026-06-05,stage
u1053,2026-06-05,stage
u1059,2026-06-05,gacha
u1063,2026-06-05,lobby
u1069,2026-06-05,buff
u1072,2026-06-05,buff
u1076,2026-06-05,shop
u1080,2026-06-05,lobby
u1087,2026-06-05,gacha
u1090,2026-06-05,gacha
u1091,2026-06-05,lobby
u1092,2026-06-05,buff
u1106,2026-06-05,lobby
u1107,2026-06-05,stage
u1108,2026-06-05,buff
u1110,2026-06-05,shop
u1111,2026-06-05,stage
u1113,2026-06-05,buff
u1115,2026-06-05,shop
u1127,2026-06-05,shop
u1127,2026-06-05,buff
u1133,2026-06-05,lobby
u1006,2026-06-06,buff
u1011,2026-06-06,gacha
u1013,2026-06-06,lobby
u1014,2026-06-06,stage
u1016,2026-06-06,shop
u1018,2026-06-06,shop
u1019,2026-06-06,lobby
u1021,2026-06-06,buff
u1024,2026-06-06,shop
u1026,2026-06-06,buff
u1030,2026-06-06,stage
u1033,2026-06-06,lobby
u1033,2026-06-06,buff
u1035,2026-06-06,shop
u1045,2026-06-06,shop
u1053,2026-06-06,buff
u1057,2026-06-06,lobby
u1057,2026-06-06,shop
u1067,2026-06-06,buff
u1068,2026-06-06,gacha
u1070,2026-06-06,shop
u1075,2026-06-06,buff
u1076,2026-06-06,shop
u1078,2026-06-06,shop
u1084,2026-06-06,lobby
u1090,2026-06-06,gacha
u1096,2026-06-06,stage
u1097,2026-06-06,shop
u1108,2026-06-06,stage
u1109,2026-06-06,shop
u1110,2026-06-06,shop
u1113,2026-06-06,stage
u1116,2026-06-06,lobby
u1117,2026-06-06,buff
u1120,2026-06-06,buff
u1121,2026-06-06,gacha
u1126,2026-06-06,buff
u1131,2026-06-06,shop
u1007,2026-06-07,lobby
u1007,2026-06-07,stage
u1015,2026-06-07,lobby
u1029,2026-06-07,lobby
u1033,2026-06-07,shop
u1036,2026-06-07,stage
u1036,2026-06-07,shop
u1038,2026-06-07,buff
u1042,2026-06-07,buff
u1045,2026-06-07,stage
u1054,2026-06-07,gacha
u1054,2026-06-07,gacha
u1061,2026-06-07,lobby
u1062,2026-06-07,buff
u1064,2026-06-07,gacha
u1083,2026-06-07,buff
u1088,2026-06-07,lobby
u1094,2026-06-07,lobby
u1095,2026-06-07,gacha
u1096,2026-06-07,stage
u1098,2026-06-07,stage
u1099,2026-06-07,lobby
u1099,2026-06-07,gacha
u1102,2026-06-07,lobby
u1106,2026-06-07,shop
u1114,2026-06-07,lobby
u1117,2026-06-07,stage
u1118,2026-06-07,stage
u1120,2026-06-07,lobby
u1123,2026-06-07,gacha
u1127,2026-06-07,gacha
u1128,2026-06-07,buff
u1129,2026-06-07,gacha
u1129,2026-06-07,stage
u1002,2026-06-08,shop
u1014,2026-06-08,buff
u1025,2026-06-08,buff
u1029,2026-06-08,lobby
u1040,2026-06-08,stage
u1040,2026-06-08,buff
u1053,2026-06-08,gacha
u1061,2026-06-08,stage
u1065,2026-06-08,lobby
u1071,2026-06-08,gacha
u1075,2026-06-08,buff
u1075,2026-06-08,gacha
u1076,2026-06-08,stage
u1081,2026-06-08,stage
u1106,2026-06-08,gacha
u1121,2026-06-08,lobby
u1129,2026-06-08,stage
u1135,2026-06-08,gacha
u1137,2026-06-08,shop
u1139,2026-06-08,buff
u1141,2026-06-08,lobby
u1146,2026-06-08,shop
u1150,2026-06-08,shop
u1150,2026-06-08,lobby
u1152,2026-06-08,stage
u1155,2026-06-08,buff
u1156,2026-06-08,stage
u1161,2026-06-08,shop
u1163,2026-06-08,stage
u1164,2026-06-08,stage
u1181,2026-06-08,stage
u1199,2026-06-08,gacha
u1203,2026-06-08,lobby
u1204,2026-06-08,stage
u1206,2026-06-08,shop
u1207,2026-06-08,shop
u1213,2026-06-08,shop
u1215,2026-06-08,stage
u1216,2026-06-08,shop
u1218,2026-06-08,buff
u1221,2026-06-08,lobby
u1233,2026-06-08,buff
u1234,2026-06-08,shop
u1235,2026-06-08,lobby
u1237,2026-06-08,buff
u1242,2026-06-08,gacha
u1244,2026-06-08,stage
u1245,2026-06-08,stage
u1247,2026-06-08,lobby
u1249,2026-06-08,gacha
u1252,2026-06-08,lobby
u1259,2026-06-08,gacha
u1259,2026-06-08,gacha
u1265,2026-06-08,gacha
u1268,2026-06-08,stage
u1270,2026-06-08,stage
u1272,2026-06-08,buff
u1013,2026-06-09,lobby
u1014,2026-06-09,shop
u1018,2026-06-09,gacha
u1025,2026-06-09,shop
u1029,2026-06-09,gacha
